	message_index	timestamp	year	month	day	hour	minute	second	phetio_id	event_name	event_type	event_component	event_params	event_children
0	0.0	2021-06-28 11:12:12.821	2021	6	28	11	12	12.0	beersLawLab.simIFrameAPI	invoked	wrapper	TSimIFrameAPI	{'phetioID': 'phetio', 'method': 'addExpressions', 'args': [[]], 'messageID': 2, 'protocol': 'phet-io-0.0.1'}	{}
1	1.0	2021-06-28 11:12:12.824	2021	6	28	11	12	12.0	beersLawLab.simIFrameAPI	invoked	wrapper	TSimIFrameAPI	{'phetioID': 'phetio', 'method': 'launchSimulation', 'args': [], 'messageID': 3, 'protocol': 'phet-io-0.0.1'}	{}
2	2.0	2021-06-28 11:12:12.830	2021	6	28	11	12	12.0	beersLawLab.sim	simStarted	model	TSim	"{'sessionID': None, 'simName': ""\u202aBeer's Law Lab\u202c"", 'simVersion': '1.6.15-phetio', 'url': 'https://phet-io.colorado.edu/sims/beers-law-lab/1.6.15-phetio/beers-law-lab_en-phetio.html?production&phetioEmitStates=false&phetioEmitInputEvents=false', 'userAgent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36', 'randomSeed': 0.8596822891210816, 'provider': 'PhET Interactive Simulations, University of Colorado Boulder'}"	[{'messageIndex': 3, 'eventType': 'model', 'phetioID': 'beersLawLab.concentrationScreen.view.concentrationMeterNode.bodyNode.readoutTextNode', 'componentType': 'TTandemText', 'event': 'textChanged', 'time': 1624871532940, 'parameters': {'oldText': '\u202a1.000 \u202amol/L\u202c\u202c', 'newText': '-'}}, {'messageIndex': 4, 'eventType': 'model', 'phetioID': 'beersLawLab.beersLawScreen.view.detectorNode.bodyNode.valueNode', 'componentType': 'TTandemText', 'event': 'textChanged', 'time': 1624871532986, 'parameters': {'oldText': '\u202a100.00%\u202c', 'newText': '-'}}]
3	5.0	2021-06-28 11:12:21.436	2021	6	28	11	12	21.0	beersLawLab.homeScreen.view.beersLawScreenSmallButton	fired	user	TScreenButton	{}	[{'messageIndex': 6, 'eventType': 'model', 'phetioID': 'beersLawLab.sim.screenIndexProperty', 'componentType': 'TProperty', 'event': 'changed', 'time': 1624871541436, 'parameters': {'oldValue': 0, 'newValue': 1}}]
4		2021-06-28 11:12:23.883	2021	6	28	11	12	23.0	beersLawLab.wrapper	showPDF	user	WrapperButton		{}
5		2021-06-28 11:15:07.649	2021	6	28	11	15	7.0	beersLawLab.wrapper	hidePDF	user	WrapperButton		{}
6	7.0	2021-06-28 11:15:09.041	2021	6	28	11	15	9.0	beersLawLab.homeScreen.view.beersLawScreenLargeButton	fired	user	TScreenButton	{}	[{'messageIndex': 8, 'eventType': 'model', 'phetioID': 'beersLawLab.sim.showHomeScreenProperty', 'componentType': 'TProperty', 'event': 'changed', 'time': 1624871709041, 'parameters': {'oldValue': True, 'newValue': False}}]
7	9.0	2021-06-28 11:15:10.779	2021	6	28	11	15	10.0	beersLawLab.beersLawScreen.view.cuvetteNode.cuvetteDragHandler	dragStarted	user	TTandemDragHandler	{'x': 499, 'y': 219}	{}
8	10.0	2021-06-28 11:15:10.950	2021	6	28	11	15	10.0	beersLawLab.beersLawScreen.view.cuvetteNode.cuvetteDragHandler	dragged	user	TTandemDragHandler	{'x': 510, 'y': 219}	[{'messageIndex': 11, 'eventType': 'model', 'phetioID': 'beersLawLab.beersLawScreen.model.cuvette.widthProperty', 'componentType': 'TProperty', 'event': 'changed', 'time': 1624871710950, 'parameters': {'oldValue': 1, 'newValue': 1.088}}]
9	12.0	2021-06-28 11:15:10.966	2021	6	28	11	15	10.0	beersLawLab.beersLawScreen.view.cuvetteNode.cuvetteDragHandler	dragged	user	TTandemDragHandler	{'x': 535, 'y': 220}	[{'messageIndex': 13, 'eventType': 'model', 'phetioID': 'beersLawLab.beersLawScreen.model.cuvette.widthProperty', 'componentType': 'TProperty', 'event': 'changed', 'time': 1624871710966, 'parameters': {'oldValue': 1.088, 'newValue': 1.288}}]
10	14.0	2021-06-28 11:15:10.982	2021	6	28	11	15	10.0	beersLawLab.beersLawScreen.view.cuvetteNode.cuvetteDragHandler	dragged	user	TTandemDragHandler	{'x': 547, 'y': 220}	[{'messageIndex': 15, 'eventType': 'model', 'phetioID': 'beersLawLab.beersLawScreen.model.cuvette.widthProperty', 'componentType': 'TProperty', 'event': 'changed', 'time': 1624871710982, 'parameters': {'oldValue': 1.288, 'newValue': 1.384}}]
11	16.0	2021-06-28 11:15:10.999	2021	6	28	11	15	10.0	beersLawLab.beersLawScreen.view.cuvetteNode.cuvetteDragHandler	dragged	user	TTandemDragHandler	{'x': 552, 'y': 220}	[{'messageIndex': 17, 'eventType': 'model', 'phetioID': 'beersLawLab.beersLawScreen.model.cuvette.widthProperty', 'componentType': 'TProperty', 'event': 'changed', 'time': 1624871710999, 'parameters': {'oldValue': 1.384, 'newValue': 1.424}}]
12	18.0	2021-06-28 11:15:11.015	2021	6	28	11	15	11.0	beersLawLab.beersLawScreen.view.cuvetteNode.cuvetteDragHandler	dragged	user	TTandemDragHandler	{'x': 558, 'y': 221}	[{'messageIndex': 19, 'eventType': 'model', 'phetioID': 'beersLawLab.beersLawScreen.model.cuvette.widthProperty', 'componentType': 'TProperty', 'event': 'changed', 'time': 1624871711015, 'parameters': {'oldValue': 1.424, 'newValue': 1.472}}]
13	20.0	2021-06-28 11:15:11.032	2021	6	28	11	15	11.0	beersLawLab.beersLawScreen.view.cuvetteNode.cuvetteDragHandler	dragged	user	TTandemDragHandler	{'x': 563, 'y': 221}	[{'messageIndex': 21, 'eventType': 'model', 'phetioID': 'beersLawLab.beersLawScreen.model.cuvette.widthProperty', 'componentType': 'TProperty', 'event': 'changed', 'time': 1624871711032, 'parameters': {'oldValue': 1.472, 'newValue': 1.512}}]
14	22.0	2021-06-28 11:15:11.048	2021	6	28	11	15	11.0	beersLawLab.beersLawScreen.view.cuvetteNode.cuvetteDragHandler	dragged	user	TTandemDragHandler	{'x': 570, 'y': 221}	[{'messageIndex': 23, 'eventType': 'model', 'phetioID': 'beersLawLab.beersLawScreen.model.cuvette.widthProperty', 'componentType': 'TProperty', 'event': 'changed', 'time': 1624871711048, 'parameters': {'oldValue': 1.512, 'newValue': 1.568}}]
15	24.0	2021-06-28 11:15:11.065	2021	6	28	11	15	11.0	beersLawLab.beersLawScreen.view.cuvetteNode.cuvetteDragHandler	dragged	user	TTandemDragHandler	{'x': 577, 'y': 222}	[{'messageIndex': 25, 'eventType': 'model', 'phetioID': 'beersLawLab.beersLawScreen.model.cuvette.widthProperty', 'componentType': 'TProperty', 'event': 'changed', 'time': 1624871711065, 'parameters': {'oldValue': 1.568, 'newValue': 1.624}}]
16	26.0	2021-06-28 11:15:11.082	2021	6	28	11	15	11.0	beersLawLab.beersLawScreen.view.cuvetteNode.cuvetteDragHandler	dragged	user	TTandemDragHandler	{'x': 586, 'y': 223}	[{'messageIndex': 27, 'eventType': 'model', 'phetioID': 'beersLawLab.beersLawScreen.model.cuvette.widthProperty', 'componentType': 'TProperty', 'event': 'changed', 'time': 1624871711082, 'parameters': {'oldValue': 1.624, 'newValue': 1.6960000000000002}}]
17	28.0	2021-06-28 11:15:11.098	2021	6	28	11	15	11.0	beersLawLab.beersLawScreen.view.cuvetteNode.cuvetteDragHandler	dragged	user	TTandemDragHandler	{'x': 594, 'y': 224}	[{'messageIndex': 29, 'eventType': 'model', 'phetioID': 'beersLawLab.beersLawScreen.model.cuvette.widthProperty', 'componentType': 'TProperty', 'event': 'changed', 'time': 1624871711098, 'parameters': {'oldValue': 1.6960000000000002, 'newValue': 1.76}}]
